Label,wrist,thumb cmc,thumb mcp,thumb ip,thumb tip,index finger mcp,index finger pip,index finger dip,index finger tip,middle finger mcp,middle finger pip,middle finger dip,middle finger tip,ring finger mcp,ring finger pip,ring finger dip,ring finger tip,pinky mcp,pinky pip,pinky dip,pinky tip
0,"[0.026748541742563248, 0.02358493022620678, 0.07362499833106995]","[-0.0019419370219111443, 0.0228133462369442, 0.05845966935157776]","[-0.014312434941530228, 0.0260605588555336, 0.047054409980773926]","[-0.024218767881393433, 0.04016692936420441, 0.016848888248205185]","[-0.024928171187639236, 0.046441756188869476, -0.008338725194334984]","[-0.015437592752277851, 0.00016898149624466896, 0.008261086419224739]","[-0.0358443409204483, 0.0026398752816021442, -0.005472532007843256]","[-0.05100594460964203, -0.00039435550570487976, -0.00918578077107668]","[-0.07442337274551392, 0.005618471652269363, -0.018409600481390953]","[-0.0035046942066401243, -0.0038425198290497065, 0.0006730133318342268]","[-0.01632271148264408, 0.012274102307856083, -0.0007113151368685067]","[-0.017760204151272774, 0.02099950797855854, 0.02090894803404808]","[-0.008050734177231789, 0.005933438427746296, 0.05226578190922737]","[0.008591467514634132, -0.0025112093426287174, -0.006679810117930174]","[-0.005073425360023975, 0.02230137027800083, -0.004454962909221649]","[-0.0019074822776019573, 0.02790941298007965, 0.017670217901468277]","[0.010031216777861118, 0.01956942304968834, 0.04446263238787651]","[0.0205807164311409, 0.011765539646148682, -0.0016457519959658384]","[0.004549867939203978, 0.02541329525411129, -0.0036514608655124903]","[0.0027073032688349485, 0.02443513832986355, 0.014564690180122852]","[0.008436129428446293, 0.01926577463746071, 0.029187990352511406]"
0,"[0.00845370627939701, 0.03248942643404007, 0.09892149269580841]","[0.021716846153140068, 0.028722044080495834, 0.055915359407663345]","[0.03773832693696022, 0.03316521272063255, 0.025988753885030746]","[0.05091900750994682, 0.03403744101524353, -0.0034014007542282343]","[0.06363380700349808, 0.030610766261816025, -0.024821661412715912]","[0.007563514169305563, 0.009348299354314804, -0.011196710169315338]","[0.01853526569902897, 0.0011053825728595257, -0.013345854356884956]","[0.03589183837175369, 0.009240138344466686, -0.0044296057894825935]","[0.04228965565562248, 0.0240316204726696, 0.006147950887680054]","[-0.004141222219914198, -0.0006506884819827974, -0.0016242393758147955]","[0.01065863762050867, -0.01326223649084568, -0.008484488353133202]","[0.019329912960529327, -0.006114755291491747, -0.007162785157561302]","[0.02554837055504322, -0.004953686147928238, 0.01865994744002819]","[-0.0032665140461176634, -0.005676934029906988, 0.006229727528989315]","[0.003623631317168474, -0.010960456915199757, -0.0009315438219346106]","[0.015354445204138756, 0.0008294980507344007, 0.009767035022377968]","[0.02668100781738758, 0.004261628724634647, 0.02859988994896412]","[-0.010560964234173298, -0.006967374589294195, 0.018614739179611206]","[3.909948281943798e-05, -0.009486788883805275, 0.008600440807640553]","[0.007753714919090271, -0.0036654938012361526, 0.010058626532554626]","[0.018703337758779526, -0.0020135953091084957, 0.011983021162450314]"
0,"[0.08520423620939255, 0.028733348473906517, -0.0045227231457829475]","[0.05016295611858368, 0.0363570973277092, -0.025005165487527847]","[0.016740182414650917, 0.024068571627140045, -0.02907968871295452]","[-0.014388448558747768, 0.009963180869817734, -0.030692698433995247]","[-0.03840538114309311, -0.005549972876906395, -0.024260863661766052]","[-0.020132334902882576, 0.019945785403251648, -0.005269346293061972]","[-0.051963597536087036, 0.015651045367121696, -0.007238196674734354]","[-0.07444728910923004, 0.009061377495527267, -0.01085306890308857]","[-0.09468089044094086, 0.00458882749080658, -0.031454846262931824]","[-0.006815378554165363, 0.003562348196282983, 0.00596130033954978]","[-0.019529258832335472, -0.016437169164419174, -0.019499432295560837]","[-0.005135968793183565, -0.009558208286762238, -0.0340241938829422]","[0.004058734979480505, 0.0020780684426426888, -0.02117742784321308]","[0.01181302685290575, -0.014237848110496998, 0.005597335286438465]","[0.006704122759401798, -0.027109960094094276, -0.02042708359658718]","[0.023935537785291672, -0.015676425769925117, -0.02978591062128544]","[0.03203187137842178, -0.004135121591389179, -0.015872269868850708]","[0.03231333568692207, -0.019503220915794373, 0.0014446270652115345]","[0.025685513392090797, -0.029457148164510727, -0.017873814329504967]","[0.03787149488925934, -0.02261505275964737, -0.031402166932821274]","[0.0426262728869915, -0.011062519624829292, -0.026270082220435143]"
0,"[-0.09159897267818451, -0.006012199446558952, -0.0009983862983062863]","[-0.06746239215135574, -0.004412664100527763, -0.023996058851480484]","[-0.03422181308269501, 0.012667459435760975, -0.009195839054882526]","[-0.004692215006798506, 0.025856943801045418, -0.005078949499875307]","[0.017596418038010597, 0.030816711485385895, 0.0070847575552761555]","[0.007333311252295971, -0.011504913680255413, -0.006330827716737986]","[0.03592030704021454, -0.008888510055840015, -0.012532426975667477]","[0.0615961067378521, -0.0006860140711069107, -0.009512537159025669]","[0.08738574385643005, 0.005310436710715294, -0.021829312667250633]","[0.004169642459601164, -0.0041646892204880714, 0.004256568383425474]","[0.014341468922793865, 0.01735418662428856, -0.004924730397760868]","[-0.006837068125605583, 0.020254036411643028, -0.004570907447487116]","[-0.021484624594449997, 0.01021230686455965, 0.013291394338011742]","[-0.0021929515060037374, 0.006638120394200087, 0.00490159448236227]","[0.0019402001053094864, 0.024046765640378, 0.00200237100943923]","[-0.021080270409584045, 0.029771633446216583, -0.0005061434931121767]","[-0.03516218811273575, 0.021207816898822784, 0.0074587189592421055]","[-0.016247745603322983, 0.012288305908441544, 0.007986556738615036]","[-0.008814413100481033, 0.023557020351290703, 0.00045736422180198133]","[-0.023215489462018013, 0.030382798984646797, -0.0028343158774077892]","[-0.03587231785058975, 0.02698732167482376, -0.00655728904530406]"
0,"[-0.07773672789335251, -0.03258443623781204, 0.017041955143213272]","[-0.0635727271437645, -0.03497195616364479, -0.021112488582730293]","[-0.04260113090276718, -0.01236318051815033, -0.02757791429758072]","[-0.02370673418045044, 0.009128538891673088, -0.03594613075256348]","[-0.004755028523504734, 0.029515359550714493, -0.03338707983493805]","[0.005767296068370342, -0.019671304151415825, -0.014301410876214504]","[0.029536092653870583, -0.0027245236560702324, -0.024448759853839874]","[0.046623896807432175, 0.015589408576488495, -0.027442405000329018]","[0.06672683358192444, 0.032500773668289185, -0.04334612935781479]","[0.0052734119817614555, -0.0042808507569134235, 0.0044073923490941525]","[0.004762708209455013, 0.021604076027870178, -0.018253054469823837]","[-0.02230047434568405, 0.018519066274166107, -0.024318231269717216]","[-0.031153757125139236, 0.008519969880580902, -0.0050431909039616585]","[-0.0018771737813949585, 0.013739216141402721, 0.010229676030576229]","[-0.008571283891797066, 0.02957027778029442, -0.008738283067941666]","[-0.0335187204182148, 0.02461951971054077, -0.013797806575894356]","[-0.041724126785993576, 0.012506172992289066, 0.0007588428561575711]","[-0.01525022927671671, 0.01831258088350296, 0.01725888065993786]","[-0.019713716581463814, 0.02950223535299301, 0.0009220463689416647]","[-0.03754796087741852, 0.02727743610739708, -0.004719416610896587]","[-0.04353821277618408, 0.020255208015441895, 0.0019298205152153969]"
0,"[0.017775068059563637, -0.014372998848557472, 0.07879764586687088]","[-0.007848118431866169, -0.020547090098261833, 0.05989781767129898]","[-0.018607478588819504, -0.01374059822410345, 0.0363629013299942]","[-0.031919583678245544, 0.008143788203597069, 0.011311660520732403]","[-0.03098016232252121, 0.025704873725771904, -0.010091478005051613]","[-0.014215702190995216, -0.012938463129103184, -0.0033956202678382397]","[-0.021942034363746643, 0.001656990498304367, -0.012933246791362762]","[-0.02192745730280876, 0.010432674549520016, -0.0011320306221023202]","[-0.016083264723420143, 0.013121353462338448, 0.01971549354493618]","[-0.002934423740953207, -0.002597459591925144, -0.002906888723373413]","[-0.0055877468548715115, 0.013061780482530594, -0.013184324838221073]","[-0.017754510045051575, 0.02040526643395424, 0.006299162283539772]","[-0.008899654261767864, 0.006477396935224533, 0.028297947719693184]","[0.006876478902995586, 0.005515155382454395, 4.710158827947453e-05]","[-0.007934244349598885, 0.02763877809047699, -0.004131930880248547]","[-0.016151750460267067, 0.02248469740152359, 0.01534605398774147]","[-0.005605078302323818, 0.01608509197831154, 0.03604926913976669]","[0.013399019837379456, 0.017936261370778084, 0.012474212795495987]","[-0.0004971930757164955, 0.027508612722158432, 0.011972869746387005]","[-0.010304413735866547, 0.021913859993219376, 0.027815453708171844]","[-0.009647814556956291, 0.011922391131520271, 0.047667939215898514]"
0,"[-0.007326493039727211, 0.04677194356918335, 0.07422907650470734]","[-0.023139864206314087, 0.04096444696187973, 0.04167816415429115]","[-0.02616198919713497, 0.03331073373556137, 0.017004989087581635]","[-0.017997946590185165, 0.03243779391050339, -0.013723459094762802]","[-0.0009006168693304062, 0.02943490445613861, -0.03436850383877754]","[-0.010228323750197887, 0.0009021193254739046, -0.0059846010990440845]","[-0.011642071418464184, 0.01751677878201008, -0.022615674883127213]","[-0.009217897430062294, 0.028781460598111153, -0.008682433515787125]","[-0.014851386658847332, 0.023488983511924744, 0.0101673798635602]","[-0.0022399425506591797, -0.0028704043943434954, -0.00016984173271339387]","[0.005055218003690243, 0.010285941883921623, -0.016688110306859016]","[-0.0028985394164919853, 0.02555117942392826, -0.002280076500028372]","[-0.007642965763807297, 0.013411249965429306, 0.02133360505104065]","[0.006452739238739014, -0.005379009991884232, 0.003121054731309414]","[0.010204434394836426, 0.019366111606359482, -0.009312582202255726]","[0.004737911745905876, 0.027131102979183197, 0.005955625791102648]","[0.003784632310271263, 0.021287597715854645, 0.02899380959570408]","[0.012356159277260303, 0.005338700488209724, 0.012084586545825005]","[0.015638593584299088, 0.02277045138180256, -0.0003466100024525076]","[0.00901907030493021, 0.030964981764554977, 0.013709507882595062]","[0.0017112568020820618, 0.027250412851572037, 0.026832856237888336]"
0,"[0.05665016174316406, 0.031297702342271805, 0.0580841526389122]","[0.026845142245292664, 0.010692590847611427, 0.054763343185186386]","[0.0077382782474160194, 0.0036520392168313265, 0.05180114880204201]","[-0.013232031837105751, 0.007678161840885878, 0.0335218571126461]","[-0.025388799607753754, 0.018718957901000977, 0.012172308750450611]","[-0.009277405217289925, -0.00896516628563404, 0.011099676601588726]","[-0.029173389077186584, -0.0102427052333951, 0.009339609183371067]","[-0.05200702324509621, -0.009799979627132416, 0.01565338857471943]","[-0.07945118099451065, -0.0028562918305397034, 0.010149944573640823]","[-0.0025183167308568954, -0.0016655281651765108, 0.0005472960183396935]","[-0.014198023825883865, 0.0030051558278501034, 0.005927901715040207]","[-0.01647179201245308, 0.013584076426923275, 0.024413544684648514]","[-0.005897242110222578, 0.0007233601063489914, 0.048756349831819534]","[0.004244115203619003, 0.003319141920655966, -0.0076965331099927425]","[-0.0022003939375281334, 0.019374171271920204, 0.0013181752292439342]","[-0.0007375851273536682, 0.025019176304340363, 0.024233518168330193]","[0.012475160881876945, 0.011465667746961117, 0.04697082191705704]","[0.015242200344800949, 0.01957051083445549, -0.005800006911158562]","[0.00530518963932991, 0.030832232907414436, 0.0010201422264799476]","[0.004927872680127621, 0.027364563196897507, 0.01941843144595623]","[0.018386412411928177, 0.025483960285782814, 0.028118671849370003]"
0,"[0.03699623420834541, 0.06918454170227051, 0.046143971383571625]","[0.014970216900110245, 0.045572008937597275, 0.04939192533493042]","[-0.004357201047241688, 0.02457450143992901, 0.047705698758363724]","[-0.028190983459353447, 0.010727355256676674, 0.0344577394425869]","[-0.047024212777614594, 0.0009320304961875081, 0.014744178391993046]","[-0.006735748145729303, -0.01228611171245575, 0.018800770863890648]","[-0.021171418949961662, -0.028673319146037102, 0.005650671198964119]","[-0.036942072212696075, -0.04379388317465782, 0.0021156552247703075]","[-0.05762306973338127, -0.05919795483350754, -0.01768261380493641]","[-0.0008966057794168591, -0.005766449496150017, 0.002803100273013115]","[-0.025887345895171165, 0.00046132621355354786, -0.0007135052583180368]","[-0.03281081095337868, 0.017708005383610725, 0.016551166772842407]","[-0.015968749299645424, 0.0221240371465683, 0.03220178186893463]","[0.002818112261593342, 0.007332727778702974, -0.012646463699638844]","[-0.02073211409151554, 0.02340734750032425, -0.010374984703958035]","[-0.0214653592556715, 0.03828713670372963, 0.009305744431912899]","[-0.005513072945177555, 0.03612496703863144, 0.0255920197814703]","[0.0035369396209716797, 0.029037686064839363, -0.019242186099290848]","[-0.017542613670229912, 0.03899802267551422, -0.016109604388475418]","[-0.020072882995009422, 0.046109557151794434, 0.0031238968949764967]","[-0.006677709519863129, 0.04421234130859375, 0.014514565467834473]"
0,"[0.03148987144231796, -0.04149961471557617, 0.06987226754426956]","[-0.00042803771793842316, -0.03685072809457779, 0.05226428806781769]","[-0.020954221487045288, -0.01824445277452469, 0.03903288394212723]","[-0.025324959307909012, -0.0017499309033155441, 0.018458018079400063]","[-0.022250093519687653, 0.014500079676508904, -0.005963450763374567]","[-0.014493666589260101, -0.004541144706308842, -0.003086727811023593]","[-0.022852668538689613, 0.01046666782349348, -0.007192741148173809]","[-0.027855444699525833, 0.029766574501991272, 0.01011639554053545]","[-0.029564302414655685, 0.050213295966386795, 0.036753080785274506]","[0.0006848316406831145, 0.0007699211128056049, -0.0018658812623471022]","[-0.018376372754573822, 0.022505532950162888, 0.0013251348864287138]","[-0.02101900428533554, 0.03405526652932167, 0.020525740459561348]","[-0.028933746740221977, 0.03587866574525833, 0.045249976217746735]","[0.007762567140161991, 0.004821090493351221, 0.0011953709181398153]","[-0.005184154026210308, 0.022057075053453445, 0.010178723372519016]","[-0.007464768830686808, 0.019879497587680817, 0.035035885870456696]","[-0.008800122886896133, 0.01240442879498005, 0.055954452604055405]","[0.021872811019420624, 0.008260023780167103, 0.013665341772139072]","[0.008536259643733501, 0.019163746386766434, 0.01943844184279442]","[0.0010822722688317299, 0.020661557093262672, 0.03990986943244934]","[0.006846612319350243, 0.012383698485791683, 0.05066552013158798]"
